Year,Month,Day,Event
130,10,30,Hadrianus megalapítja Antinoöpolis városát 
284,11,17,Diocletianust császárnak választják katonái
312,10,27,Nagy Konstantin császár látomása
312,12,03,Diocletianus római császár halála
343,12,06,Szent Miklós püspök halála
351,09,28,a mursai csata
352,12,25,Liberius pápa kinevezi ezt a napot a hivatalos karácsony ünnepének
354,11,13,Szent Ágoston születése
41,01,24,Caligula császár halála
41,01,25,Claudius lesz az új császár
454,09,21,Aetius római hadvezér meggyilkolása
511,11,27,I. Klodvig frank király halála
533,12,30,érvénybe lép a Codex Justinianus
537,12,27,a Hagia Sophia felszentelése
563,12,24,a Hagia Sophia második felszentelése
732,10,10,Martel Károly legyőzi az arabokat Poitiers-nél
741,10,22,Martell Károly halála
786,09,14,Hárún ar-Rasíd kalifa trónra lépése
800,12,25,(Nagy) Károly frank uralkodót a Német-római birodalom első császárának koronázzák
899,09,24,a kalandozó magyarok győzelme Berengár itáliai király fölött
911,11,10,I. Konrádot választják a német királynak Forchheimnél
925,09,04,"Athelstan az első, aki Anglia egésze felett uralkodik"
939,10,27,Athelstan király halála
968,12,22,az első feljegyzések napfogyatkozásról
1000,12,25,István király koronázása
1002,11,13,II. Æthelred angol király lemészároltatja az Angliában élő dánokat
1031,09,02,Szent Imre herceg halála
1063,09,11,I. Béla király halála
1065,12,28,felszenteli és megnyitja a Westminster Abbeyt Hitvalló Edward
1066,09,28,Hódító Vilmos partra száll Angliában
1066,10,14,a hastingsi csata
1066,12,25,"I. Vilmos angol királlyá koronázzák, ezzel formálisan is véget ér a norman hódítás"
1087,09,09,I. Vilmos halála
1120,11,25,"Vilmos, Normandia hercegének hajója elsüllyed Anglia felé"
1122,09,23,a wormsi konkordátum megkötése
1127,09,01,Álmos herceg halála
1128,01,13,a pápa elismeri a Templomos Lovagrendet
1166,12,24,Plantagenet János születése Oxfordban
1170,12,29,merénylet Thomas Becket ellen
1191,09,07,az arszúfi csata
1194,12,26,II. Frigyes császár születése
1204,11,30,Imre magyar király halála
1213,09,28,Meráni Gertrudis királyné meggyilkolása
1229,09,13,a kurultaj Ögödejt választja a mongolok nagykánjává
1231,11,17,Árpád-házi Szent Erzsébet halála
1235,10,14,IV. Béla második koronázása
1236,12,27,Julianus barát hazatér első utazásáról
1242,01,19,IV. Béla a pápa segítségét kéri a mongolok ellen
1270,01,20,"Meghal Boldog Özséb, a pálos rend megalapítója"
1272,09,03,IV. (Kun) László koronázása
1272,11,16,III. (Plantagenêt) Henrik király halála
1305,11,14,V. Kelemen lesz az első avignon-I pápa
1305,12,06,Wittelsbach Ottó magyar király koronázása
1308,11,27,Károly Róbert királlyá választása Pesten
1314,11,29,Szép Fülöp francia király halála
1315,11,15,a morgarteni csata
1321,09,14,Dante Alighieri halála
1324,01,08,Marco Polo halála
1330,11,08,Károly Róbert veresége Posadánál
1340,10,30,a Rio Salado-i csata (vagy tarifai csata)
1345,09,19,merénylet Anjou András magyar herceg ellen
1346,10,17,a Neville’s Cross-i csata
1351,12,11,Nagy Lajos király kihirdeti az ősiség törvényét
1367,01,06,II. Richárd születése
1367,09,01,pécsi egyetem alapítása
1370,11,05,Nagy Lajos király megörökli a lengyel koronát
1380,09,16,V. Károly francia király halála
1408,12,12,Luxemburgi Zsigmond megalapítja a sárkányrendet
1412,11,08,Luxemburgi Zsigmond elzálogosítja a szepesi városokat
1414,11,05,a konstanzi zsinat megnyitása
1415,09,10,Rettenthetetlen János meggyilkolása
1415,10,25,az agincourti csata
1421,12,06,VI. Henrik király születése
1426,12,27,Ozorai Pipo halála
1429,09,08,Jeanne d’Arc megpróbálja elfoglalni Párizst VII. Károlynak
1431,01,09,megkezdődik Jeanne d'Arc pere
1435,09,21,az arrasi szerződés megkötése 
1437,09,16,a kápolnai unió létrehozása
1437,12,18,Habsburg Albertet választják meg Magyarország királyának
1444,11,10,a várnai csata
1448,10,19,véget ér a Rigómezei csata
1456,11,23,"V. László megesküszik, hogy nem áll bosszút Cillei Ulrikért"
1457,11,23,V. László király halála
1458,01,24,királyválasztás a Duna jegén
1458,10,08,Hunyadi Mátyás elfogatja Szilágyi Mihály kormányzót
1467,12,15,Hunyadi Mátyás vereséget szenved Moldvabányánál
1468,01,17,Szkander bég halála
1471,09,20,Kázmér lengyel herceg hadat üzen Mátyás királynak
1477,01,05,Merész Károly burgundi herceg halála
1477,11,18,William Caxton kiadja az első nyomtatott könyvet Angliában
1477,12,01,Hunyadi Mátyás megköti a gmunden-korneuburgi békét
1479,10,13,a kenyérmezei csata
1484,12,05,VIII. Ince pápa bullát ad ki a boszorkányság ellen
1485,10,30,"Tudor Henrik megkoronázása, VII. Henrik néven"
1492,01,02,"Granada spanyol kézre kerül, ezzel véget ér a reconquista"
1492,10,27,"Kolumbusz Kristóf Kubába hajózik, amit spanyol területnek nyilvánít"
1492,11,24,Kinizsi Pál halála
1493,01,15,Kolumbusz Kristóf hazaindul első expedíciójáról
1493,11,11,Paracelsus születése
1498,09,16,Torquemada főinkvizítor halála
1504,09,08,Michelangelo Dávid-szobrának leleplezése
1508,09,23,Aragóniai Beatrix magyar királyné halála
1508,12,10,"II. Gyula pápa, Miksa nrcs., XII. Lajos, és II. Ferdinánd létrehozza a Cambrai ligát"
1512,11,01,a Sixtus-kápolna mennyezeti freskóinak bemutatása
1514,10,09,Tudor Mária és XII. Lajos francia király házassága
1514,11,19,II. Ulászló megerősíti a Tripartitumot
1515,09,22,Kleve-i Anna angol királyné születése
1517,10,31,Luther Márton közzéteszi 95 tételét
1519,09,20,Magellán elindul földkerülő útjára
1520,10,21,Magellán megtalálja az átjárót a Csendes-óceánra 
1521,01,03,X. Leo kiközösíti Luther Mártont az egyházból
1524,12,24,Vasco da Gama halála
1525,12,30,Jakob Fugger kereskedő halála
1526,01,14,Habsburg-Valois békeszerződés Madridban
1526,11,11,Szapolyai János koronázása
1526,12,17,Habsburg Ferdinándot magyar királlyá választják
1531,10,11,a második kappeli csata 
1532,11,16,Pizarro tőrbe csalja Atahualpa inka uralkodót
1533,01,23,"Boleyn Anna felfedezi, hogy gyermeket vár"
1533,01,25,VIII. Henrik angol király titokban elveszi Boleyn Annát
1533,12,04,Rettegett Iván lesz a moszkvai nagyfejedelem
1537,10,09,a diakovári csata
1538,12,17,III. Pál pápa kiközösíti VIII. Henriket házasság felbontása miatt
1540,01,06,"VIII. Henrik elveszi Cleves Annát, negyedik feleségét"
1540,09,27,a jezsuita rend alapítása
1541,12,29,a gyalui egyezmény
1545,12,13,megkezdődik a tridenti zsinat
1547,01,16,Rettegett Iván minden orosz cárja lesz
1551,12,17,Fráter György meggyilkolása
1552,09,09,a törökök ostrom alá veszik Eger várát
1556,01,16,II. Fülöp trónra lép Spanyolországban
1556,01,23,"földrengés Kínában, amiben 830 000 ember halhatott meg"
1557,01,01,Bocskai István születése
1558,11,17,I. (Tudor) Erzsébet lesz az angol uralkodó
1559,09,15,Jagelló Izabella királyné halála
1563,09,08,I. Miksa magyar király koronázása Pozsonyban
1566,09,06,Szulejmán szultán halála
1568,01,15,Oláh Miklós esztergomi érsek halála
1571,10,07,a lepantói csata
1571,12,27,Johannes Kepler születése
1580,09,26,Francis Drake hazatér világ körüli útjáról
1586,12,12,Báthory István halála Grodnóban
1588,10,08,Rákóczi Zsigmond szikszói diadala a törökök ellen
1596,10,26,a mezőkeresztesi csata
1597,12,23,Báthory Zsigmond másodszor mond le fejedelmi székéről
1598,09,13,Habsburg Fülöp egyszerre lesz Spanyolország és Portugália királya
1600,09,18,Vitéz Mihály vajda vereséget szenved Miriszlónál
1604,10,15,Bocskai győzelme az álmosd-diószegi csatában
1604,11,17,az osgyáni csata
1605,11,05,a sikertelen lőporos összeesküvés I. Jakab angol király ellen
1606,12,09,Rudolf király ratifikálja a zsitvatoroki békeszerződést
1608,09,10,John Smitht választják Jamestown elnökének
1608,12,05,Rákóczi Zsigmond erdélyi fejedelem halála
1608,12,14,Kemény János fejedelem születése
1610,01,07,Galileo felfedezi a Jupiter négy holdját
1618,10,29,Sir Walter Raleigh kivégzése
1619,09,07,a kassai vértanúk meggyilkolása
1620,01,08,Bethlen Gábort  Magyarország fejedelmévé választják
1620,09,16,a Mayflower útra kel Amerika felé
1620,11,21,a mayflower megállapodás aláírása
1629,11,15,Bethlen Gábor halála
1630,11,26,I. Rákóczi Györgyöt erdélyi fejedelemmé választják
1631,09,17,svéd győzelem a harminc éves háborúban Breitenfeldnél
1631,12,16,a Vezuv kitörésében több mint 3000 ember hal meg
1632,11,16,a lützeni csata
1636,10,28,a Harvard Egyetem megalapítása
1642,11,24,a hollandok felfedezik Tazmániát
1642,12,04,Richelieu bíboros halála
1642,12,13,Abel Tasman holland felvedező az első aki európaiként megtekinti Új-Zélandot
1645,12,16,a linzi béke
1647,12,26,I. Károly angol uralkodó titkos szövetséget köt a skótokkal
1648,10,11,II. Rákóczi György lesz Erdély fejedelme
1648,10,24,a vesztfáliai béke
1653,12,16,Oliver Cromwell lordprotektor lesz
1658,09,03,Oliver Cromwell halála
1658,09,14,a török Barcsay Ákosnak ajánlja fel az erdélyi fejedelemséget
1659,11,17,a pireneusi béke
1664,11,18,Zrínyi Miklós halála
1666,09,02,londoni tűzvész
1666,12,19,szövetségre lépnek a Wesselényi-féle összeesküvés résztvevői
1673,09,25,a protestánsok elleni per kezdete
1683,09,12,Sobieski János lengyel seregei felmentik Bécset a török ostrom alól
1686,09,02,Buda visszafoglalása
1688,01,17,a császári csapatok elfoglalják Munkács várát
1691,12,04,a Diploma Leopoldinum kiadása
1697,09,11,Savoyai Jenő Zentánál győzelmet arat a törökök felett
1699,01,26,a karlócai béke
1700,11,20,a narvai csata
1701,11,07,Rákóczi szökése Bécsújhelyről
1703,11,19,"a ""vasálarcos"" rab halála Bastille börtönében"
1704,01,02,I. Lipót a kurucokkal való tárgyalásra utasítja Széchényi Pál érseket
1704,12,26,Kuruc vereség Nagyszombatnál
1705,09,12,II. Rákóczi Ferenc megnyitja a szécsényi országgyűlést
1705,09,13,Thököly Imre halála
1705,11,11,a zsibói csata
1705,12,13,Vak Bottyán győzelmet arat Szentgotthárdnál
1706,01,17,Benjamin Franklin születése
1708,11,28,a sárospataki kuruc országgyűlés megnyitása
1709,01,05,"megérkezik a ""Nagy Fagy"" Európa leghidegebb tele 500 év óta"
1709,09,11,a malplaqueti csata
1709,09,27,Vak Bottyán halála
1710,01,22,kuruc vereség Romhány mellett
1715,09,01,XIV. Lajos halála
1718,11,22,"Feketeszakáll, a rettegett kalóz halála"
1718,11,30,"XII. Károly svéd király halálával véget ér a Stormaktstiden, ""a nagyhatalom kora"""
1721,09,10,a nystadti békével lezárul a második északi háború
1725,11,06,Bercsényi Miklós halála
1736,01,19,James Watt születése
1740,10,20,III. Károly magyar király halála
1743,09,08,Károlyi Sándor halála
1755,11,01,a nagy lisszaboni földrengés
1757,10,16,Hadik András megsarcolja Berlint
1757,12,05,II. (Nagy) Frigyes porosz király győzelmet arat a kétszeres túlerejű osztrákokkal szemben
1758,09,29,Horatio Nelson születése
1759,10,27,Kazinczy Ferenc születése
1761,10,02,Mikes Kelemen halála
1764,01,07,a madéfalvi veszedelem
1767,01,23,Mária Terézia kihirdeti az úrbéri rendeletet
1773,12,16,a bostoni teadélután
1774,09,05,az első kontinentális kongresszus megnyitása
1776,09,07,az első tengeralattjáró támadás
1777,10,17,a második saratogai csata
1778,01,09,Bercsényi László francia marsall halála
1780,11,29,Mária Terézia halála
1781,09,04,Los Angeles alapítása
1781,10,19,Lord Cornwallis megadja magát seregeivel Yorktownnál
1781,10,25,II. József kiadja türelmi rendeletét
1783,09,03,a párizsi béke Nagy-Britannia és az USA között
1783,11,21,az első utasokat is szállító hőlégballon útja
1788,01,22,Lord Byron születése
1788,01,26,megérkeznek az első telepesek Ausztráliába
1788,01,27,Arthur Phillip a mai Sydney területén megalapítja az első ausztrál települést
1791,09,21,Széchenyi István gróf születése
1791,12,05,Mozart halála
1792,09,06,Georges Dantont választják a Nemzeti Konvent élére
1792,09,20,a valmyi csata
1792,10,13,a Fehér Ház alapkőletétele
1792,12,11,kezdetét veszi XVI. Lajos pere
1793,10,16,Mária Antónia kivégzése
1795,09,22,József nádor beiktatása
1795,10,24,Lengyelország harmadik felosztása
1797,10,18,a campoformiói béke
1797,10,22,"a francia Andrés-Jacques Garnerin az első, aki sikeresen használ ejtőernyőt"
1799,11,09,a brumaire-i államcsíny kezdete
1799,12,14,Geroge Washington halála
1800,01,11,Jedlik Ányos születése
1800,12,01,Vörösmarty Mihály születése
1802,09,19,Kossuth Lajos születése
1803,10,17,Deák Ferenc születése
1803,10,20,az amerikai szenátus ratifikálja Louisiana megvásárlását
1804,12,02,Napoleont császárrá koronázzák
1805,10,21,a trafalgari csata
1805,12,26,"Napoleon aláírja a Pressburgi békét, amivel súlyos büntetéseket vet ki Ausztriára"
1806,10,14,francia győzelem Jénánál a poroszok felett
1806,11,21,Napóleon bevezeti a kontinentális blokádot
1807,12,17,Napoleon megtiltja minden semleges és szövetséges országnak a NB-val való kereskedelmet
