event;startyear;startmonth;startday;startseason;endyear;endmonth;endday;endseason
Választás és belpolitikai válság (Szabadelvű Párt veresége);1905;01;;;1906;;;
Lex Apponyi;1907;;;;;;;
Nemzeti Munkáspárt győzelme;1910;;;;;;;
Vérvörös csütörtöki zavagások;1912;05;23;;;;;
Tisza István miniszterelnöksége (Nemzeti Munkapárt);1913;;;;1917;;;
Hadigazdaság (+szociális intézkedések);1914;;;;;;;
Osztrák-Magyar Monarchia hadat üzen Szerbiának;1914;07;28;;;;;
Osztrák-Magyar Monarchia hadat üzen Oroszországnak;1914;08;06;;;;;
IV. Károly uralkodása;1916;;;;1918;;;
Ferenc József halála;1916;11;21;;;;;
Tisza István lemondása;1917;;;tavasz;;;;
Károlyi-féle Tanácsköztársaság;1918;;;;1919;;;
Lánchídi csata;1918;10;28;;;;;
Forradalmi jellegű megmozdulások;1918;10;30;;;;31;
Károlyi Mihály miniszerelnökké választása;1918;10;31;;;;;
Tisza István meggyilkolása;1918;10;31;;;;;
Kun Béla és csoportja Magyarországra érkezik (KMP megalakulása);1918;11;;;;;;
Nemzeti Tanács kikiáltotta a népköztársaságot;1918;11;16;;;;;
Pozsony megszállása;1919;01;01;;;;;
Forradalmi Kormányzótanács (új hatalom megszületése);1919;03;21;;;;;
Forradalmi Kormányzótanács lemondása;1919;08;01;;;;;
Horthy bevonulása Budapestre ;1919;11;16;;;;;
Nemzetgyűlési választások kiírása;1920;01;;;;;;
Apponyi Albert vezetésével a magyar békedelegáció Párizsba megy;1920;01;;;;;;
Földreform;1920;;;;;;;
Numerus clausus;1920;;;;;;;
Horthy megválasztása államfőnek (kormányzó);1920;03;01;;;;;
Békeszerződés aláírása a Nagy-Trianon-palotában;1920;06;04;;;;;
Bethlen István miniszerelnöksége;1921;;;;1931;;;
Rendtörvény;1921;;;;;;;
VI. Károly visszetérési kísérletei;1921;;;;;;;
Bethlen-Peyer paktum;1921;;;;;;;
Soproni népszavazás;1921;12;;;;;;
Fogolycsere-egyezmény ;1922;;;;;;;
VI. Károly meghal;1922;;;;;;;
